n_clients,max_iter,trial,predicted_global,actual_global
10,100,50,0.8877897141430011,0.9250814332247557
10,100,51,0.8877897141430011,0.9229098805646037
10,100,52,0.8877897141430011,0.9261672095548317
10,100,53,0.8877897141430011,0.9250814332247557
10,100,54,0.8877897141430011,0.9239956568946797
10,100,55,0.8877897141430011,0.9261672095548317
10,100,56,0.8877897141430011,0.9239956568946797
10,100,57,0.8877897141430011,0.9218241042345277
10,100,58,0.8877897141430011,0.9283387622149837
10,100,59,0.8877897141430011,0.9261672095548317
10,100,60,0.8877897141430011,0.9239956568946797
10,100,61,0.8877897141430011,0.9272529858849077
10,100,62,0.8877897141430011,0.9261672095548317
10,100,63,0.8877897141430011,0.9272529858849077
10,100,64,0.8877897141430011,0.9250814332247557
10,100,65,0.8877897141430011,0.9305103148751357
10,100,66,0.8877897141430011,0.9261672095548317
10,100,67,0.8877897141430011,0.9272529858849077
10,100,68,0.8877897141430011,0.9272529858849077
10,100,69,0.8877897141430011,0.9272529858849077
10,100,70,0.8877897141430011,0.9283387622149837
10,100,71,0.8877897141430011,0.9239956568946797
10,100,72,0.8877897141430011,0.9250814332247557
10,100,73,0.8877897141430011,0.9272529858849077
10,100,74,0.8877897141430011,0.9218241042345277
10,100,75,0.8877897141430011,0.9250814332247557
10,100,76,0.8877897141430011,0.9272529858849077
10,100,77,0.8877897141430011,0.9250814332247557
10,100,78,0.8877897141430011,0.9261672095548317
10,100,79,0.8877897141430011,0.9239956568946797
10,100,80,0.8877897141430011,0.9239956568946797
10,100,81,0.8877897141430011,0.9283387622149837
10,100,82,0.8877897141430011,0.9261672095548317
10,100,83,0.8877897141430011,0.9261672095548317
10,100,84,0.8877897141430011,0.9239956568946797
10,100,85,0.8877897141430011,0.9283387622149837
10,100,86,0.8877897141430011,0.9283387622149837
10,100,87,0.8877897141430011,0.9261672095548317
10,100,88,0.8877897141430011,0.9250814332247557
10,100,89,0.8877897141430011,0.9229098805646037
10,100,90,0.8877897141430011,0.9250814332247557
10,100,91,0.8877897141430011,0.9272529858849077
10,100,92,0.8877897141430011,0.9261672095548317
10,100,93,0.8877897141430011,0.9283387622149837
10,100,94,0.8877897141430011,0.9261672095548317
10,100,95,0.8877897141430011,0.9250814332247557
10,100,96,0.8877897141430011,0.9283387622149837
10,100,97,0.8877897141430011,0.9272529858849077
10,100,98,0.8877897141430011,0.9250814332247557
10,100,99,0.8877897141430011,0.9272529858849077
10,100,100,0.8877897141430011,0.9272529858849077
20,100,1,0.8877897141430011,0.9163952225841476
20,100,2,0.8877897141430011,0.9229098805646037
20,100,3,0.8877897141430011,0.9109663409337676
20,100,4,0.8877897141430011,0.9174809989142236
20,100,5,0.8877897141430011,0.9218241042345277
20,100,6,0.8877897141430011,0.9196525515743756
20,100,7,0.8877897141430011,0.9207383279044516
20,100,8,0.8877897141430011,0.9218241042345277
20,100,9,0.8877897141430011,0.9142236699239956
20,100,10,0.8877897141430011,0.9261672095548317
20,100,11,0.8877897141430011,0.9196525515743756
20,100,12,0.8877897141430011,0.9196525515743756
20,100,13,0.8877897141430011,0.9109663409337676
20,100,14,0.8877897141430011,0.9131378935939196
20,100,15,0.8877897141430011,0.9218241042345277
20,100,16,0.8877897141430011,0.9196525515743756
20,100,17,0.8877897141430011,0.9229098805646037
20,100,18,0.8877897141430011,0.9196525515743756
20,100,19,0.8877897141430011,0.9196525515743756
20,100,20,0.8877897141430011,0.9218241042345277
20,100,21,0.8877897141430011,0.9229098805646037
20,100,22,0.8877897141430011,0.9207383279044516
20,100,23,0.8877897141430011,0.9174809989142236
20,100,24,0.8877897141430011,0.9239956568946797
20,100,25,0.8877897141430011,0.9153094462540716
20,100,26,0.8877897141430011,0.9174809989142236
20,100,27,0.8877897141430011,0.9229098805646037
20,100,28,0.8877897141430011,0.9196525515743756
20,100,29,0.8877897141430011,0.9196525515743756
20,100,30,0.8877897141430011,0.9185667752442996
20,100,31,0.8877897141430011,0.9174809989142236
20,100,32,0.8877897141430011,0.9207383279044516
20,100,33,0.8877897141430011,0.9163952225841476
20,100,34,0.8877897141430011,0.9229098805646037
20,100,35,0.8877897141430011,0.9207383279044516
20,100,36,0.8877897141430011,0.9174809989142236
20,100,37,0.8877897141430011,0.9261672095548317
20,100,38,0.8877897141430011,0.9207383279044516
20,100,39,0.8877897141430011,0.9239956568946797
20,100,40,0.8877897141430011,0.9163952225841476
20,100,41,0.8877897141430011,0.9163952225841476
20,100,42,0.8877897141430011,0.9131378935939196
20,100,43,0.8877897141430011,0.9174809989142236
20,100,44,0.8877897141430011,0.9218241042345277
20,100,45,0.8877897141430011,0.9207383279044516
