comm_cost,cost_mode,n_clients,max_depth,trial,predicted_global,effective_predicted_global,actual_global,effective_actual_global
0.08,fixed,10,100,82,0.8438048699613416,0.7638048699613417,0.856418918918919,0.776418918918919
0.08,fixed,10,100,83,0.8486328529782835,0.7686328529782835,0.8555743243243243,0.7755743243243244
0.08,fixed,10,100,84,0.8420852735529294,0.7620852735529294,0.8518888206388207,0.7718888206388207
0.08,fixed,10,100,85,0.8436062526641094,0.7636062526641094,0.8565724815724816,0.7765724815724816
0.08,fixed,10,100,86,0.844790254818196,0.7647902548181961,0.8501996314496314,0.7701996314496314
0.08,fixed,10,100,87,0.8495711265583525,0.7695711265583526,0.8529637592137592,0.7729637592137593
0.08,fixed,10,100,88,0.8496745106228649,0.769674510622865,0.8555743243243243,0.7755743243243244
0.08,fixed,10,100,89,0.8476267446663984,0.7676267446663985,0.8567260442260443,0.7767260442260443
0.08,fixed,10,100,90,0.8455177411947915,0.7655177411947915,0.8528869778869779,0.7728869778869779
0.08,fixed,10,100,91,0.8441916353334069,0.764191635333407,0.855958230958231,0.775958230958231
0.08,fixed,10,100,92,0.8473876448400264,0.7673876448400264,0.8563421375921376,0.7763421375921377
0.08,fixed,10,100,93,0.8443148807733147,0.7643148807733148,0.8553439803439803,0.7753439803439803
0.08,fixed,10,100,94,0.8541079211049736,0.7741079211049736,0.8518120393120393,0.7718120393120393
0.08,fixed,10,100,95,0.8436873839278111,0.7636873839278111,0.8533476658476659,0.7733476658476659
0.08,fixed,10,100,96,0.8487015133060786,0.7687015133060786,0.8546529484029484,0.7746529484029484
0.08,fixed,10,100,97,0.8488901161764846,0.7688901161764846,0.8558046683046683,0.7758046683046683
0.08,fixed,10,100,98,0.8505320310237667,0.7705320310237668,0.8565724815724816,0.7765724815724816
0.08,fixed,10,100,99,0.8456454070625965,0.7656454070625965,0.8521959459459459,0.772195945945946
0.08,fixed,10,100,100,0.8421380024349195,0.7621380024349196,0.8560350122850123,0.7760350122850124
0.08,fixed,20,100,1,0.8428600176391765,0.7628600176391765,0.859259828009828,0.7792598280098281
0.08,fixed,20,100,2,0.8498220214718961,0.7698220214718962,0.858338452088452,0.7783384520884521
0.08,fixed,20,100,3,0.8493587683871745,0.7693587683871745,0.8603347665847666,0.7803347665847666
0.08,fixed,20,100,4,0.8482110331037748,0.7682110331037748,0.8568028255528255,0.7768028255528255
0.08,fixed,20,100,5,0.8483214933617307,0.7683214933617307,0.8566492628992629,0.776649262899263
0.08,fixed,20,100,6,0.8492513073719279,0.7692513073719279,0.8587223587223587,0.7787223587223587
0.08,fixed,20,100,7,0.8460619895119639,0.7660619895119639,0.8594133906633906,0.7794133906633907
0.08,fixed,20,100,8,0.8438475021668702,0.7638475021668703,0.8594133906633906,0.7794133906633907
0.08,fixed,20,100,9,0.8418686917201172,0.7618686917201173,0.8531941031941032,0.7731941031941032
0.08,fixed,20,100,10,0.8493854033645514,0.7693854033645514,0.8566492628992629,0.776649262899263
0.08,fixed,20,100,11,0.8509758611125983,0.7709758611125983,0.8585687960687961,0.7785687960687961
